symbol,exchange,currency,name,source
NVDA,SMART,USD,Nvidia,my pick
AMZN,SMART,USD,Amazon,my pick
AMD,SMART,USD,Advanced Micro Devices,my pick
TMC,SMART,USD,TMC the metals company,my pick
GOOGL,SMART,USD,Alphabet Inc. (Class A),my pick
META,SMART,USD,Meta Platforms,my pick
NFLX,SMART,USD,Netflix,my pick
PANW,SMART,USD,Palo Alto Networks,my pick
CRWD,SMART,USD,CrowdStrike,my pick
FTNT,SMART,USD,Fortinet Inc,my pick
CSCO,SMART,USD,Cisco Systems,my pick
AVGO,SMART,USD,Broadcom,my pick
NET,SMART,USD,Cloudflare,my pick
OKTA,SMART,USD,Okta,my pick
ZS,SMART,USD,Zscaler,my pick
RBRK,SMART,USD,Rubrik Inc,my pick
FFIV,SMART,USD,F5 Inc,my pick
