symbol,exchange,currency,name,source
AAPL,SMART,USD,Apple Inc,"S&P 500 top by market cap (SPY weight 7.441%, 2026-09-21)"
MSFT,SMART,USD,Microsoft Corp,"S&P 500 top by market cap (SPY weight 5.561%, 2026-09-21)"
MU,SMART,USD,Micron Technology Inc,"S&P 500 top by market cap (SPY weight 1.74%, 2026-09-21)"
TSLA,SMART,USD,Tesla Inc,"S&P 500 top by market cap (SPY weight 1.557%, 2026-09-21)"
BRK B,SMART,USD,Berkshire Hathaway Inc Cl B,"S&P 500 top by market cap (SPY weight 1.44%, 2026-09-21)"
JPM,SMART,USD,Jpmorgan Chase + Co,"S&P 500 top by market cap (SPY weight 1.41%, 2026-09-21)"
LLY,SMART,USD,Eli Lilly + Co,"S&P 500 top by market cap (SPY weight 1.399%, 2026-09-21)"
XOM,SMART,USD,Exxonmobil Holdings Corp,"S&P 500 top by market cap (SPY weight 1.02%, 2026-09-21)"
JNJ,SMART,USD,Johnson + Johnson,"S&P 500 top by market cap (SPY weight 0.987%, 2026-09-21)"
V,SMART,USD,Visa Inc Class A Shares,"S&P 500 top by market cap (SPY weight 0.952%, 2026-09-21)"
INTC,SMART,USD,Intel Corp,"S&P 500 top by market cap (SPY weight 0.819%, 2026-09-21)"
WMT,SMART,USD,Walmart Inc,"S&P 500 top by market cap (SPY weight 0.721%, 2026-09-21)"
ABBV,SMART,USD,Abbvie Inc,"S&P 500 top by market cap (SPY weight 0.707%, 2026-09-21)"
MA,SMART,USD,Mastercard Inc   A,"S&P 500 top by market cap (SPY weight 0.693%, 2026-09-21)"
CVX,SMART,USD,Chevron Corp,"S&P 500 top by market cap (SPY weight 0.628%, 2026-09-21)"
PLTR,SMART,USD,Palantir Technologies Inc A,"S&P 500 top by market cap (SPY weight 0.62%, 2026-09-21)"
COST,SMART,USD,Costco Wholesale Corp,"S&P 500 top by market cap (SPY weight 0.602%, 2026-09-21)"
BAC,SMART,USD,Bank Of America Corp,"S&P 500 top by market cap (SPY weight 0.569%, 2026-09-21)"
CAT,SMART,USD,Caterpillar Inc,"S&P 500 top by market cap (SPY weight 0.564%, 2026-09-21)"
MRK,SMART,USD,Merck + Co. Inc.,"S&P 500 top by market cap (SPY weight 0.549%, 2026-09-21)"
LRCX,SMART,USD,Lam Research Corp,"S&P 500 top by market cap (SPY weight 0.547%, 2026-09-21)"
AMAT,SMART,USD,Applied Materials Inc,"S&P 500 top by market cap (SPY weight 0.535%, 2026-09-21)"
KO,SMART,USD,Coca Cola Co/The,"S&P 500 top by market cap (SPY weight 0.518%, 2026-09-21)"
PG,SMART,USD,Procter + Gamble Co/The,"S&P 500 top by market cap (SPY weight 0.516%, 2026-09-21)"
UNH,SMART,USD,Unitedhealth Group Inc,"S&P 500 top by market cap (SPY weight 0.513%, 2026-09-21)"
GE,SMART,USD,General Electric,"S&P 500 top by market cap (SPY weight 0.494%, 2026-09-21)"
HD,SMART,USD,Home Depot Inc,"S&P 500 top by market cap (SPY weight 0.454%, 2026-09-21)"
PM,SMART,USD,Philip Morris International,"S&P 500 top by market cap (SPY weight 0.446%, 2026-09-21)"
GS,SMART,USD,Goldman Sachs Group Inc,"S&P 500 top by market cap (SPY weight 0.416%, 2026-09-21)"
SNDK,SMART,USD,Sandisk Corp,"S&P 500 top by market cap (SPY weight 0.397%, 2026-09-21)"
RTX,SMART,USD,Rtx Corp,"S&P 500 top by market cap (SPY weight 0.397%, 2026-09-21)"
WFC,SMART,USD,Wells Fargo + Co,"S&P 500 top by market cap (SPY weight 0.395%, 2026-09-21)"
ORCL,SMART,USD,Oracle Corp,"S&P 500 top by market cap (SPY weight 0.387%, 2026-09-21)"
